Date,SiteID,Adjacency,ThawDep_cm,Lat_WGS84,Lon_WGS84,X_UTMz6,Y_UTMz6,Altitude_m
20180820,APEX5_7,ERT electrode_67.25m,63,64.695854,-148.321761,436965.9303,7175216.202,131.49
20180820,APEX5_7,ERT electrode_68.65m,66,64.695855,-148.321731,436967.3334,7175216.23,131.52
20180820,APEX5_7,ERT electrode_70.22m,63,64.695858,-148.321699,436968.8624,7175216.571,131.43
20180820,APEX5_7,ERT electrode_71.68m,73,64.695862,-148.32167,436970.2771,7175216.929,131.45
20180820,APEX5_7,ERT electrode_73.10m,74,64.695863,-148.32164,436971.6923,7175217.077,131.48
20180820,APEX5_7,ERT electrode_74.56m,79,64.695864,-148.32161,436973.1446,7175217.177,131.49
20180820,APEX5_7,ERT electrode_76.15m,69,64.695868,-148.321577,436974.6931,7175217.544,131.49
20180820,APEX5_7,ERT electrode_77.56m,84,64.695869,-148.321548,436976.1021,7175217.628,131.5
20180820,APEX5_7,ERT electrode_79.08m,88,64.695871,-148.321516,436977.6174,7175217.774,131.34
20180820,APEX5_7,ERT electrode_80.56m,110,64.695873,-148.321486,436979.0766,7175217.975,131.43
20180820,APEX5_7,ERT electrode_82.00m,109,64.695874,-148.321456,436980.5064,7175218.139,131.4
20180820,APEX6_8,ERT electrode_0.00m,43,64.696116,-148.322397,436936.198,7175246.018,131.51
20180820,APEX6_8,ERT electrode_2.90m,42,64.696105,-148.322343,436938.755,7175244.652,131.31
20180820,APEX6_8,ERT electrode_6.22m,42,64.696088,-148.322285,436941.4686,7175242.785,131.48
20180820,APEX6_8,ERT electrode_9.18m,43,64.696073,-148.322235,436943.8117,7175240.995,131.54
20180820,APEX6_8,ERT electrode_12.12m,52,64.696061,-148.322181,436946.3775,7175239.588,131.33
20180820,APEX6_8,ERT electrode_15.62m,70,64.696042,-148.322122,436949.1229,7175237.416,131.36
20180820,APEX6_8,ERT electrode_18.49m,65,64.696026,-148.322074,436951.4099,7175235.683,131.36
20180820,APEX6_8,ERT electrode_21.27m,75,64.696014,-148.322024,436953.7647,7175234.222,131.25
20180820,APEX6_8,ERT electrode_24.32m,47,64.695999,-148.32197,436956.2916,7175232.553,131.39
20180820,APEX6_8,ERT electrode_27.18m,35,64.695983,-148.321924,436958.4567,7175230.689,131.48
20180820,APEX6_8,ERT electrode_30.40m,45,64.695967,-148.321866,436961.1434,7175228.905,131.82
20180820,APEX6_8,ERT electrode_33.55m,47,64.695952,-148.321812,436963.7157,7175227.123,131.8
20180820,APEX6_8,ERT electrode_36.30m,45,64.69594,-148.321761,436966.1108,7175225.768,131.73
20180820,APEX6_8,ERT electrode_39.13m,45,64.695927,-148.321711,436968.4441,7175224.195,131.65
20180820,APEX6_8,ERT electrode_42.44m,43,64.69591,-148.321653,436971.1816,7175222.329,131.55
20180820,APEX6_8,ERT electrode_45.30m,61,64.695898,-148.321601,436973.627,7175220.868,131.59
20180820,APEX6_8,ERT electrode_48.17m,64,64.695883,-148.321551,436975.9779,7175219.217,131.52
20180820,APEX6_8,ERT electrode_51.50m,94,64.69587,-148.321489,436978.9175,7175217.666,131.43
20180820,APEX6_8,ERT electrode_54.31m,81,64.695855,-148.321441,436981.1581,7175215.99,131.38
20180820,APEX6_8,ERT electrode_57.08m,111,64.695841,-148.321395,436983.3266,7175214.292,131.35
20180820,APEX6_8,ERT electrode_63.41m,65,64.695811,-148.321282,436988.6415,7175210.887,131.57
20180820,APEX6_8,ERT electrode_64.76m,140,64.695805,-148.321257,436989.8254,7175210.238,131.77
20181010,APEX1,Seismometer,80,64.696607,-148.323667,436876.7798,7175302.002,134.27
20181010,APEX1,Seismometer,79,64.696607,-148.323667,436876.7798,7175302.002,134.27
20181010,APEX1,Seismometer,75,64.696607,-148.323667,436876.7798,7175302.002,134.27
20181010,APEX1,Seismometer,71,64.696607,-148.323667,436876.7798,7175302.002,134.27
20181010,APEX1,NMR borehole,64,64.6966,-148.323624,436878.7924,7175301.139,133.59
20181010,APEX1,NMR borehole,60,64.6966,-148.323624,436878.7924,7175301.139,133.59
20181010,APEX1,NMR borehole,59,64.6966,-148.323624,436878.7924,7175301.139,133.59
20181010,APEX1,NMR borehole,65,64.6966,-148.323624,436878.7924,7175301.139,133.59
20181010,APEX2,Seismometer,61,64.696488,-148.323168,436900.2703,7175288.17,133.11
20181010,APEX2,Seismometer,62,64.696488,-148.323168,436900.2703,7175288.17,133.11
20181010,APEX2,Seismometer,66,64.696488,-148.323168,436900.2703,7175288.17,133.11
20181010,APEX2,Seismometer,62,64.696488,-148.323168,436900.2703,7175288.17,133.11
20181010,APEX2,NMR borehole,100,64.696488,-148.323269,436895.4827,7175288.279,132.94
20181010,APEX2,NMR borehole,97,64.696488,-148.323269,436895.4827,7175288.279,132.94
20181010,APEX2,NMR borehole,98,64.696488,-148.323269,436895.4827,7175288.279,132.94
20181010,APEX2,NMR borehole,99,64.696488,-148.323269,436895.4827,7175288.279,132.94
20181010,APEX3,Seismometer,36,64.696286,-148.322626,436925.6563,7175265.108,133.93
20181010,APEX3,Seismometer,39,64.696286,-148.322626,436925.6563,7175265.108,133.93
20181010,APEX3,Seismometer,42,64.696286,-148.322626,436925.6563,7175265.108,133.93
20181010,APEX3,Seismometer,44,64.696286,-148.322626,436925.6563,7175265.108,133.93
20181010,APEX3,NMR borehole,46,64.696279,-148.3226,436926.8791,7175264.345,133.33
20181010,APEX3,NMR borehole,38,64.696279,-148.3226,436926.8791,7175264.345,133.33
20181010,APEX3,NMR borehole,46,64.696279,-148.3226,436926.8791,7175264.345,133.33
20181010,APEX3,NMR borehole,47,64.696279,-148.3226,436926.8791,7175264.345,133.33
20181010,APEX4,Seismometer,87,64.695948,-148.322557,436928.1596,7175227.425,130.63
20181010,APEX4,Seismometer,88,64.695948,-148.322557,436928.1596,7175227.425,130.63
20181010,APEX4,Seismometer,93,64.695948,-148.322557,436928.1596,7175227.425,130.63
20181010,APEX4,Seismometer,85,64.695948,-148.322557,436928.1596,7175227.425,130.63
20181010,APEX4,NMR borehole,73,64.695961,-148.322521,436929.8999,7175228.856,131.11
20181010,APEX4,NMR borehole,60,64.695961,-148.322521,436929.8999,7175228.856,131.11
20181010,APEX4,NMR borehole,66,64.695961,-148.322521,436929.8999,7175228.856,131.11
20181010,APEX4,NMR borehole,54,64.695961,-148.322521,436929.8999,7175228.856,131.11
20181010,APEX5,Seismometer,85,64.695741,-148.322539,436928.5565,7175204.329,131.41
20181010,APEX5,Seismometer,93,64.695741,-148.322539,436928.5565,7175204.329,131.41
20181010,APEX5,Seismometer,95,64.695741,-148.322539,436928.5565,7175204.329,131.41
20181010,APEX5,Seismometer,83,64.695741,-148.322539,436928.5565,7175204.329,131.41
20181010,APEX6,Seismometer,82,64.696025,-148.322126,436948.8935,7175235.539,133.2
20181010,APEX6,Seismometer,69,64.696025,-148.322126,436948.8935,7175235.539,133.2
20181010,APEX6,Seismometer,75,64.696025,-148.322126,436948.8935,7175235.539,133.2
20181010,APEX6,Seismometer,79,64.696025,-148.322126,436948.8935,7175235.539,133.2
20181010,APEX6,NMR borehole,76,64.696031,-148.322053,436952.4182,7175236.224,131.97
20181010,APEX6,NMR borehole,83,64.696031,-148.322053,436952.4182,7175236.224,131.97
20181010,APEX6,NMR borehole,77,64.696031,-148.322053,436952.4182,7175236.224,131.97
20181010,APEX6,NMR borehole,75,64.696031,-148.322053,436952.4182,7175236.224,131.97
20181010,APEX7,Seismometer,56,64.695877,-148.321758,436966.1106,7175218.739,132.09
20181010,APEX7,Seismometer,56,64.695877,-148.321758,436966.1106,7175218.739,132.09
20181010,APEX7,Seismometer,56,64.695877,-148.321758,436966.1106,7175218.739,132.09
20181010,APEX7,Seismometer,57,64.695877,-148.321758,436966.1106,7175218.739,132.09
20181010,APEX7,NMR borehole,69,64.695863,-148.321719,436967.9507,7175217.072,132
20181010,APEX7,NMR borehole,54,64.695863,-148.321719,436967.9507,7175217.072,132
20181010,APEX7,NMR borehole,65,64.695863,-148.321719,436967.9507,7175217.072,132
20181010,APEX7,NMR borehole,58,64.695863,-148.321719,436967.9507,7175217.072,132
20181010,APEX8,Seismometer,60,64.695796,-148.321285,436988.4722,7175209.17,132.36
20181010,APEX8,Seismometer,62,64.695796,-148.321285,436988.4722,7175209.17,132.36
20181010,APEX8,Seismometer,62,64.695796,-148.321285,436988.4722,7175209.17,132.36
20181010,APEX8,Seismometer,55,64.695796,-148.321285,436988.4722,7175209.17,132.36
20181010,APEX9,Seismometer,39,64.695894,-148.320937,437005.2934,7175219.811,131.27
20181010,APEX9,Seismometer,43,64.695894,-148.320937,437005.2934,7175219.811,131.27
20181010,APEX9,Seismometer,55,64.695894,-148.320937,437005.2934,7175219.811,131.27
20181010,APEX9,Seismometer,52,64.695894,-148.320937,437005.2934,7175219.811,131.27
20181010,APEX9,NMR borehole,60,64.695892,-148.320929,437005.6645,7175219.517,131.67
20181010,APEX9,NMR borehole,62,64.695892,-148.320929,437005.6645,7175219.517,131.67
