Site,Treatment,Plot,Year,Date,Ice_Depth_cm
Permafrost Plateau ,Control,1,2009,6/26/2009,28.9
Permafrost Plateau ,Control,2,2009,6/26/2009,23.7
Permafrost Plateau ,Control,3,2009,6/26/2009,22.8
Permafrost Plateau ,Control,4,2009,6/26/2009,24
Permafrost Plateau ,Control,5,2009,6/26/2009,28.5
Permafrost Plateau ,Control,6,2009,6/26/2009,32.8
Permafrost Plateau ,Snow,1,2009,6/26/2009,23
Permafrost Plateau ,Snow,2,2009,6/26/2009,16
Permafrost Plateau ,Snow,3,2009,6/26/2009,26.5
Permafrost Plateau ,Snow,4,2009,6/26/2009,26.7
Permafrost Plateau ,Snow,5,2009,6/26/2009,20.4
Permafrost Plateau ,Snow,6,2009,6/26/2009,27.8
Permafrost Plateau ,Control,1,2009,6/29/2009,27.6
Permafrost Plateau ,Control,2,2009,6/29/2009,28.5
Permafrost Plateau ,Control,3,2009,6/29/2009,23.9
Permafrost Plateau ,Control,4,2009,6/29/2009,20.4
Permafrost Plateau ,Control,5,2009,6/29/2009,27.5
Permafrost Plateau ,Control,6,2009,6/29/2009,34.7
Permafrost Plateau ,Snow,1,2009,6/29/2009,33.8
Permafrost Plateau ,Snow,2,2009,6/29/2009,19.6
Permafrost Plateau ,Snow,3,2009,6/29/2009,20.4
Permafrost Plateau ,Snow,4,2009,6/29/2009,23.5
Permafrost Plateau ,Snow,5,2009,6/29/2009,26.6
Permafrost Plateau ,Snow,6,2009,6/29/2009,27.2
Permafrost Plateau ,Control,1,2009,6/19/2009,18.3
Permafrost Plateau ,Control,2,2009,6/19/2009,23.6
Permafrost Plateau ,Control,3,2009,6/19/2009,22.8
Permafrost Plateau ,Control,4,2009,6/19/2009,18.2
Permafrost Plateau ,Control,5,2009,6/19/2009,21.4
Permafrost Plateau ,Control,6,2009,6/19/2009,30.7
Permafrost Plateau ,Snow,1,2009,6/19/2009,26
Permafrost Plateau ,Snow,2,2009,6/19/2009,29
Permafrost Plateau ,Snow,3,2009,6/19/2009,20.5
Permafrost Plateau ,Snow,4,2009,6/19/2009,18
Permafrost Plateau ,Snow,5,2009,6/19/2009,27.2
Permafrost Plateau ,Snow,6,2009,6/19/2009,22.6
Permafrost Plateau ,Control,1,2009,6/30/2009,28.3
Permafrost Plateau ,Control,2,2009,6/30/2009,20.7
Permafrost Plateau ,Control,3,2009,6/30/2009,24.4
Permafrost Plateau ,Control,4,2009,6/30/2009,21.2
Permafrost Plateau ,Control,5,2009,6/30/2009,22.9
Permafrost Plateau ,Control,6,2009,6/30/2009,26.9
Permafrost Plateau ,Snow,1,2009,6/30/2009,23
Permafrost Plateau ,Snow,2,2009,6/30/2009,26.7
Permafrost Plateau ,Snow,3,2009,6/30/2009,20
Permafrost Plateau ,Snow,4,2009,6/30/2009,30.8
Permafrost Plateau ,Snow,5,2009,6/30/2009,22.9
Permafrost Plateau ,Snow,6,2009,6/30/2009,29.6
Permafrost Plateau ,Control,1,2009,7/1/2009,28.7
Permafrost Plateau ,Control,2,2009,7/1/2009,28
Permafrost Plateau ,Control,3,2009,7/1/2009,21.2
Permafrost Plateau ,Control,4,2009,7/1/2009,24.6
Permafrost Plateau ,Control,5,2009,7/1/2009,25.8
Permafrost Plateau ,Control,6,2009,7/1/2009,34.3
Permafrost Plateau ,Snow,1,2009,7/1/2009,21.2
Permafrost Plateau ,Snow,2,2009,7/1/2009,20.2
Permafrost Plateau ,Snow,3,2009,7/1/2009,24.6
Permafrost Plateau ,Snow,4,2009,7/1/2009,24.1
Permafrost Plateau ,Snow,5,2009,7/1/2009,28.3
Permafrost Plateau ,Snow,6,2009,7/1/2009,27
Permafrost Plateau ,Control,1,2009,7/2/2009,26.6
Permafrost Plateau ,Control,2,2009,7/2/2009,36.6
Permafrost Plateau ,Control,3,2009,7/2/2009,20.2
Permafrost Plateau ,Control,4,2009,7/2/2009,18.2
Permafrost Plateau ,Control,5,2009,7/2/2009,28.9
Permafrost Plateau ,Control,6,2009,7/2/2009,33.4
Permafrost Plateau ,Snow,1,2009,7/2/2009,26.4
Permafrost Plateau ,Snow,2,2009,7/2/2009,24.5
Permafrost Plateau ,Snow,3,2009,7/2/2009,28
Permafrost Plateau ,Snow,4,2009,7/2/2009,26.1
Permafrost Plateau ,Snow,5,2009,7/2/2009,21.1
Permafrost Plateau ,Snow,6,2009,7/2/2009,31.1
Permafrost Plateau ,Control,1,2009,7/6/2009,34.4
Permafrost Plateau ,Control,2,2009,7/6/2009,29.8
Permafrost Plateau ,Control,3,2009,7/6/2009,26.2
Permafrost Plateau ,Control,4,2009,7/6/2009,26.9
Permafrost Plateau ,Control,5,2009,7/6/2009,27.7
Permafrost Plateau ,Control,6,2009,7/6/2009,33.6
Permafrost Plateau ,Snow,1,2009,7/6/2009,39.9
Permafrost Plateau ,Snow,2,2009,7/6/2009,18.8
Permafrost Plateau ,Snow,3,2009,7/6/2009,33.5
Permafrost Plateau ,Snow,4,2009,7/6/2009,26.1
Permafrost Plateau ,Snow,5,2009,7/6/2009,30.5
Permafrost Plateau ,Snow,6,2009,7/6/2009,41.3
Permafrost Plateau ,Control,1,2009,7/13/2009,37
Permafrost Plateau ,Control,2,2009,7/13/2009,32.9
Permafrost Plateau ,Control,3,2009,7/13/2009,28.1
Permafrost Plateau ,Control,4,2009,7/13/2009,26.5
Permafrost Plateau ,Control,5,2009,7/13/2009,27.8
Permafrost Plateau ,Control,6,2009,7/13/2009,36.5
Permafrost Plateau ,Snow,1,2009,7/13/2009,35.5
Permafrost Plateau ,Snow,2,2009,7/13/2009,31.7
Permafrost Plateau ,Snow,3,2009,7/13/2009,26
Permafrost Plateau ,Snow,4,2009,7/13/2009,30.7
Permafrost Plateau ,Snow,5,2009,7/13/2009,31.7
Permafrost Plateau ,Snow,6,2009,7/13/2009,41.4
Permafrost Plateau ,Control,1,2009,7/7/2009,28.2
Permafrost Plateau ,Control,2,2009,7/7/2009,24.3
Permafrost Plateau ,Control,3,2009,7/7/2009,17
Permafrost Plateau ,Control,4,2009,7/7/2009,25
Permafrost Plateau ,Control,5,2009,7/7/2009,21.3
Permafrost Plateau ,Control,6,2009,7/7/2009,32.6
Permafrost Plateau ,Snow,1,2009,7/7/2009,26.7
Permafrost Plateau ,Snow,2,2009,7/7/2009,30.3
Permafrost Plateau ,Snow,3,2009,7/7/2009,24.9
Permafrost Plateau ,Snow,4,2009,7/7/2009,26.2
Permafrost Plateau ,Snow,5,2009,7/7/2009,25.2
Permafrost Plateau ,Snow,6,2009,7/7/2009,28.4
Permafrost Plateau ,Control,1,2009,7/9/2009,18.5
Permafrost Plateau ,Control,2,2009,7/9/2009,24
Permafrost Plateau ,Control,3,2009,7/9/2009,14
Permafrost Plateau ,Control,4,2009,7/9/2009,5.5
Permafrost Plateau ,Control,5,2009,7/9/2009,22.5
Permafrost Plateau ,Control,6,2009,7/9/2009,32.3
Permafrost Plateau ,Snow,1,2009,7/9/2009,28.5
Permafrost Plateau ,Snow,2,2009,7/9/2009,28.3
Permafrost Plateau ,Snow,3,2009,7/9/2009,25
Permafrost Plateau ,Snow,4,2009,7/9/2009,22.3
Permafrost Plateau ,Snow,5,2009,7/9/2009,25.9
Permafrost Plateau ,Snow,6,2009,7/9/2009,26
Permafrost Plateau ,Control,1,2009,7/14/2009,25
Permafrost Plateau ,Control,2,2009,7/14/2009,31.9
Permafrost Plateau ,Control,3,2009,7/14/2009,26
Permafrost Plateau ,Control,4,2009,7/14/2009,26.8
Permafrost Plateau ,Control,5,2009,7/14/2009,23.9
Permafrost Plateau ,Control,6,2009,7/14/2009,33.5
Permafrost Plateau ,Snow,1,2009,7/14/2009,37.3
Permafrost Plateau ,Snow,2,2009,7/14/2009,24.5
Permafrost Plateau ,Snow,3,2009,7/14/2009,37.8
Permafrost Plateau ,Snow,4,2009,7/14/2009,25.9
Permafrost Plateau ,Snow,5,2009,7/14/2009,28.7
Permafrost Plateau ,Snow,6,2009,7/14/2009,32.9
Permafrost Plateau ,Control,1,2009,7/16/2009,33.5
Permafrost Plateau ,Control,2,2009,7/16/2009,34.7
Permafrost Plateau ,Control,3,2009,7/16/2009,35.3
Permafrost Plateau ,Control,4,2009,7/16/2009,33.8
Permafrost Plateau ,Control,5,2009,7/16/2009,34.6
Permafrost Plateau ,Control,6,2009,7/16/2009,38.9
Permafrost Plateau ,Snow,1,2009,7/16/2009,31.3
Permafrost Plateau ,Snow,2,2009,7/16/2009,32.4
Permafrost Plateau ,Snow,3,2009,7/16/2009,27.4
Permafrost Plateau ,Snow,4,2009,7/16/2009,26.9
Permafrost Plateau ,Snow,5,2009,7/16/2009,27.9
Permafrost Plateau ,Snow,6,2009,7/16/2009,32.3
Permafrost Plateau ,Control,1,2009,7/10/2009,31
Permafrost Plateau ,Control,2,2009,7/10/2009,23.5
Permafrost Plateau ,Control,3,2009,7/10/2009,28.2
Permafrost Plateau ,Control,4,2009,7/10/2009,23.5
Permafrost Plateau ,Control,5,2009,7/10/2009,22.2
Permafrost Plateau ,Control,6,2009,7/10/2009,31.3
Permafrost Plateau ,Snow,1,2009,7/10/2009,31.2
Permafrost Plateau ,Snow,2,2009,7/10/2009,32
Permafrost Plateau ,Snow,3,2009,7/10/2009,22.5
Permafrost Plateau ,Snow,4,2009,7/10/2009,24.8
Permafrost Plateau ,Snow,5,2009,7/10/2009,23.2
Permafrost Plateau ,Snow,6,2009,7/10/2009,27.7
Permafrost Plateau ,Control,1,2009,7/17/2009,26.1
Permafrost Plateau ,Control,2,2009,7/17/2009,23.6
Permafrost Plateau ,Control,3,2009,7/17/2009,32.2
Permafrost Plateau ,Control,4,2009,7/17/2009,34.1
Permafrost Plateau ,Control,5,2009,7/17/2009,20
Permafrost Plateau ,Control,6,2009,7/17/2009,28.1
Permafrost Plateau ,Snow,1,2009,7/17/2009,28.7
Permafrost Plateau ,Snow,2,2009,7/17/2009,30.1
Permafrost Plateau ,Snow,3,2009,7/17/2009,32.8
Permafrost Plateau ,Snow,4,2009,7/17/2009,31.2
